http://www.bda-ieo.it/test/ComponentiAlimento.aspx?Lan=Eng&foodid=203_1	BROAD BEANS, dried, shelled
http://www.bda-ieo.it/test/ComponentiAlimento.aspx?Lan=Eng&foodid=314_1	BROCCOLI, GREEN
http://www.bda-ieo.it/test/ComponentiAlimento.aspx?Lan=Eng&foodid=309_1	BROCCOLI, PURPLE SPROUTING
http://www.bda-ieo.it/test/ComponentiAlimento.aspx?Lan=Eng&foodid=8816_2	BRONTE PISTACHIO NUT
http://www.bda-ieo.it/test/ComponentiAlimento.aspx?Lan=Eng&foodid=900546_1	BROTH, prepared with chicken
http://www.bda-ieo.it/test/ComponentiAlimento.aspx?Lan=Eng&foodid=9040_1	BROTH, prepared with meat and vegetables
http://www.bda-ieo.it/test/ComponentiAlimento.aspx?Lan=Eng&foodid=900545_1	BROTH, prepared with mixed meat
http://www.bda-ieo.it/test/ComponentiAlimento.aspx?Lan=Eng&foodid=9043_1	BROTH, prepared with soup cube
http://www.bda-ieo.it/test/ComponentiAlimento.aspx?Lan=Eng&foodid=701358_1	BROTH, prepared with vegetables
http://www.bda-ieo.it/test/ComponentiAlimento.aspx?Lan=Eng&foodid=1309_2	BROWN SHRIMP
http://www.bda-ieo.it/test/ComponentiAlimento.aspx?Lan=Eng&foodid=315_1	BRUSSELS SPROUTS
http://www.bda-ieo.it/test/ComponentiAlimento.aspx?Lan=Eng&foodid=900688_2	BURRATA CHEESE
http://www.bda-ieo.it/test/ComponentiAlimento.aspx?Lan=Eng&foodid=1701_2	BURRINI CHEESE
http://www.bda-ieo.it/test/ComponentiAlimento.aspx?Lan=Eng&foodid=8745_2	BUTIRRO CALABRO CHEESE
http://www.bda-ieo.it/test/ComponentiAlimento.aspx?Lan=Eng&foodid=1900_2	BUTTER
http://www.bda-ieo.it/test/ComponentiAlimento.aspx?Lan=Eng&foodid=316_1	CABBAGE, JANUARY KING
http://www.bda-ieo.it/test/ComponentiAlimento.aspx?Lan=Eng&foodid=317_1	CABBAGE, RED
http://www.bda-ieo.it/test/ComponentiAlimento.aspx?Lan=Eng&foodid=1702_2	CACIOCAVALLO CHEESE
http://www.bda-ieo.it/test/ComponentiAlimento.aspx?Lan=Eng&foodid=700430_2	CACIOCAVALLO SMOKED CHEESE
http://www.bda-ieo.it/test/ComponentiAlimento.aspx?Lan=Eng&foodid=8746_2	CACIORICOTTA CHEESE
http://www.bda-ieo.it/test/ComponentiAlimento.aspx?Lan=Eng&foodid=8795_2	CACIOTTA CHEESE, made with sheep and cow milk
http://www.bda-ieo.it/test/ComponentiAlimento.aspx?Lan=Eng&foodid=1703_2	CACIOTTA ROMANA CHEESE, made with sheep milk
http://www.bda-ieo.it/test/ComponentiAlimento.aspx?Lan=Eng&foodid=700432_2	CACIOTTA SMOKED CHEESE
http://www.bda-ieo.it/test/ComponentiAlimento.aspx?Lan=Eng&foodid=1704_2	CACIOTTA TOSCANA CHEESE
http://www.bda-ieo.it/test/ComponentiAlimento.aspx?Lan=Eng&foodid=8796_2	CACIOTTINA CHEESE, made with cow milk
http://www.bda-ieo.it/test/ComponentiAlimento.aspx?Lan=Eng&foodid=8747_2	CACIOTTINA CHEESE, made with sheep and cow milk
http://www.bda-ieo.it/test/ComponentiAlimento.aspx?Lan=Eng&foodid=1705_2	CACIOTTINA FRESCA CHEESE
http://www.bda-ieo.it/test/ComponentiAlimento.aspx?Lan=Eng&foodid=2019_1	CAKE "MARGHERITA" (kind of cake, without frosting or filling, like sponge cake)
http://www.bda-ieo.it/test/ComponentiAlimento.aspx?Lan=Eng&foodid=100230_1	CAKE with CHOCOLATE
http://www.bda-ieo.it/test/ComponentiAlimento.aspx?Lan=Eng&foodid=2014_1	CAKES, COMMERCIALLY PREPARED, "sponge cake" type
http://www.bda-ieo.it/test/ComponentiAlimento.aspx?Lan=Eng&foodid=2016_1	CAKES, COMMERCIALLY PREPARED, filled
http://www.bda-ieo.it/test/ComponentiAlimento.aspx?Lan=Eng&foodid=19048_1	CAKES, COMMERCIALLY PREPARED, with chocolate
http://www.bda-ieo.it/test/ComponentiAlimento.aspx?Lan=Eng&foodid=2015_1	CAKES, COMMERCIALLY PREPARED, with jam
http://www.bda-ieo.it/test/ComponentiAlimento.aspx?Lan=Eng&foodid=71786_2	CAMEMBERT CHEESE
http://www.bda-ieo.it/test/ComponentiAlimento.aspx?Lan=Eng&foodid=2001_1	CANDIED FRUITS
http://www.bda-ieo.it/test/ComponentiAlimento.aspx?Lan=Eng&foodid=100188_1	CANDIED FRUITS, CITRON
http://www.bda-ieo.it/test/ComponentiAlimento.aspx?Lan=Eng&foodid=100187_1	CANDIED FRUITS, ORANGE PEEL
http://www.bda-ieo.it/test/ComponentiAlimento.aspx?Lan=Eng&foodid=777010_1	CAPERS, pickled
http://www.bda-ieo.it/test/ComponentiAlimento.aspx?Lan=Eng&foodid=3008_2	CARBONATED DRINK, COLA
http://www.bda-ieo.it/test/ComponentiAlimento.aspx?Lan=Eng&foodid=666009_2	CARBONATED DRINK, LIGHT
http://www.bda-ieo.it/test/ComponentiAlimento.aspx?Lan=Eng&foodid=3007_2	CARBONATED DRINK, ORANGE FLAVOR
http://www.bda-ieo.it/test/ComponentiAlimento.aspx?Lan=Eng&foodid=3015_2	CARBONATED DRINK, SWEET SODA
http://www.bda-ieo.it/test/ComponentiAlimento.aspx?Lan=Eng&foodid=777021_2	CARBONATED DRINK, TONIC WATER
http://www.bda-ieo.it/test/ComponentiAlimento.aspx?Lan=Eng&foodid=311_1	CARDOON
http://www.bda-ieo.it/test/ComponentiAlimento.aspx?Lan=Eng&foodid=8801_2	CAROB
http://www.bda-ieo.it/test/ComponentiAlimento.aspx?Lan=Eng&foodid=1305_2	CARP
http://www.bda-ieo.it/test/ComponentiAlimento.aspx?Lan=Eng&foodid=312_1	CARROTS
http://www.bda-ieo.it/test/ComponentiAlimento.aspx?Lan=Eng&foodid=8737_2	CAT FISH
